@relation 'synapse-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,16-17'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,3,0.7,0.5,0,0,0.3,96.166667,39,7,0
3,0,4,0.666667,1,0,0.6,0.666667,6.25,1,0.5,0
2,0,6,0.846154,0.923077,0,0.25,0.416667,81,17,3.8,0
1,0,0,0,1,0,0,0.5,24.5,7,3,0
1,0,0,2,0,0,0,1,0,1,1,0
2,0,2,0.555556,1,0,0.5,0.625,33,4,1.75,1
2,0,65,0.903743,0.454545,0,0.272727,0.252101,23.611111,7,1.8889,0
3,0,1,2,0,0,0.933333,0.75,3.5,1,0.5,0
1,1,20,0.857143,0.666667,0,0,0.357143,26.125,14,2.375,0
1,0,0,0.722222,1,0,0,0.428571,13,5,1.4286,0
1,0,0,2,0,0,0,1,0,1,1,0
3,0,8,0.833333,0.666667,0,0.823529,0.5,16.2,6,1.6,0
2,0,4,0.666667,1,0,0.333333,0.666667,5.5,1,0.5,0
1,11,20,0.685714,0.8,0,0,0.333333,21.25,5,1.75,0
1,0,9,1,0.777778,1,0,0.32,35.833333,14,2.8333,0
1,0,0,2,0,0,0,1,3,0,0,0
2,0,22,0.791667,0.666667,1,0.333333,0.277778,3.888889,1,0.8889,0
2,0,203,0.924242,0.916667,2,0.16,0.210227,13.695652,13,1.6957,0
2,0,13,0.866667,0.333333,0,0.6,0.4,16,4,1.3333,0
1,0,28,0.833333,0.666667,1,0,0.232143,14.666667,3,1.2222,0
2,0,43,0.825397,0.777778,0,0.315789,0.223214,29.933333,10,1.8,1
1,0,105,0.87037,0.888889,3,0,0.222222,13.210526,7,1.4737,0
1,0,20,0.809524,0.666667,1,0,0.238095,9.625,2,0.875,0
