@relation 'synapse-1.1_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.369rfc+0.354loc+0.329wmc-0.3cam+0.296npm... numeric
@attribute -0.426amc-0.39avg_cc-0.313max_cc-0.287mfa+0.286ca... numeric
@attribute -0.401dit-0.396cbm-0.386ic-0.36mfa-0.326lcom3... numeric
@attribute 0.392cbo+0.375ca-0.337ic+0.318lcom3-0.318dam... numeric
@attribute '-0.503noc-0.39ca-0.338cbo-0.334dam+0.31 lcom3...' numeric
@attribute -0.502mfa-0.5dit+0.369ic+0.355cbm-0.248dam... numeric
@attribute '0.82 noc-0.318cbo-0.27ca-0.186dam+0.168lcom3...' numeric
@attribute '-0.598ce+0.332max_cc+0.33 avg_cc-0.288rfc+0.282ca...' numeric
@attribute -0.821moa+0.242lcom-0.222lcom3+0.198npm+0.187cam... numeric
@attribute '0.862cam+0.284moa+0.222lcom+0.2  ce+0.123dam...' numeric
@attribute '0.568max_cc-0.533amc+0.35 loc-0.325lcom-0.208avg_cc...' numeric
@attribute bug {1,0}

@data
1.148626,-0.815417,1.52287,0.10832,-0.136992,0.573116,0.409097,0.592629,0.26671,-0.500733,0.82019,0
-0.870617,2.830167,-0.762465,1.396875,-0.339775,0.919517,-0.461175,-0.194838,-0.467805,-1.496926,0.093357,1
-0.865355,-1.55623,-0.68201,1.604009,1.220584,-0.184682,0.305247,-0.368925,-0.350477,-0.260289,-0.324107,0
-2.843071,0.26721,-1.089631,0.475915,1.025859,-1.002876,0.137981,-0.636433,-0.135116,0.408781,0.009429,0
1.840373,-1.633474,-0.040681,0.366468,0.752183,-0.476414,0.393233,1.375766,0.252826,-1.027741,1.692847,0
-0.578986,-0.109256,1.949535,-0.399566,-0.740289,0.174415,-0.839779,0.009999,0.717026,1.166602,-0.488582,1
3.54616,-2.519164,1.845937,0.538383,0.423617,1.142479,0.204008,0.743694,-0.992487,-0.29284,0.559188,1
-2.26883,-0.308744,-1.450815,0.540664,1.047344,-1.393239,0.208602,-0.424308,-0.2854,-0.437287,0.01197,0
-2.098604,-4.035058,-5.480671,-1.957437,-1.573589,2.978377,0.137629,-0.329123,-0.051727,0.227937,-1.07836,0
-0.89847,0.915417,1.352835,-1.238527,-0.023567,0.248575,0.149801,0.90432,0.704054,-0.716876,0.109982,0
