@relation 'synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,18-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
1,0,0.375,0,0,0
0,0,0.296296,0,0,1
0,0,0.555556,0,0,0
0,0,0.75,0,0,0
0,0,0.3,0,0,0
0,0,0.75,0,0,1
0,1,0.244898,0,0,1
0,0,0.555556,0,0,0
0,0,0.666667,2,5,0
0,0,0.428571,0,0,0
7,0,0.283333,0,0,0
0,0,0.583333,0,0,0
0,0,0.75,0,0,0
0,0,0.7,0,0,0
0,0,0.25,0,0,0
0,0,1,0,0,0
0,1,0.194286,0,0,0
0,0,0.5,0,0,0
0,0,0.204545,0,0,0
0,0,0.5,0,0,0
0,0,0.6,0,0,0
0,1,0.375,0,0,0
0,0,1,0,0,0
0,1,0.244898,0,0,1
0,0,0.277778,0,0,1
0,0,0.2,0,0,0
0,0,0.3125,0,0,0
0,0,0.475,0,0,0
0,0,0.666667,0,0,0
0,0,1,0,0,1
0,0,0.458333,0,0,0
0,0,0.75,0,0,0
0,0,0.5,0,0,0
0,0,0.5,0,0,0
0,0,0.555556,0,0,0
0,0,0.555556,0,0,0
0,4,0.134615,0,0,1
0,0,0.555556,0,0,1
17,0,0.45,0,0,0
0,2,0.3,0,0,0
0,1,0.244898,0,0,1
0,0,1,0,0,0
0,0,0.333333,0,0,0
2,0,0.666667,0,0,0
1,0,0.5,0,0,0
0,0,0.464286,3,4,0
0,0,0.666667,0,0,0
0,1,0.333333,0,0,1
0,0,0.138258,0,0,0
0,1,0.261905,0,0,1
0,0,0.555556,1,6,1
0,0,0.666667,0,0,0
0,0,0.5,0,0,0
0,2,0.097917,0,0,0
0,0,0.238095,0,0,0
0,2,0.238636,0,0,1
0,0,0.4,0,0,0
0,0,0.666667,0,0,0
0,0,1,0,0,0
0,0,0.6,0,0,0
0,0,0.333333,0,0,1
3,0,0.333333,0,0,0
0,1,0.5,0,0,0
0,1,0.4,1,2,0
0,0,0.666667,0,0,1
0,0,1,0,0,0
0,0,0.833333,1,2,0
0,1,0.392857,0,0,0
0,0,0.555556,0,0,0
0,0,0.222222,0,0,1
0,1,0.25,0,0,1
0,1,0.144928,0,0,1
0,0,0.666667,0,0,0
7,0,0.5,0,0,0
0,0,0.666667,2,5,0
0,0,0.666667,0,0,0
0,0,0.6,0,0,0
0,0,0.333333,0,0,0
0,0,0.555556,0,0,1
0,0,1,0,0,1
0,0,0.314286,0,0,1
0,0,0.5,0,0,1
0,0,0.555556,0,0,0
0,1,0.5,0,0,1
0,0,0.3,1,4,0
0,0,0.555556,0,0,0
0,0,0.666667,0,0,0
0,0,0.2,0,0,1
0,0,0.5,0,0,1
0,0,0.5,0,0,1
0,0,0.333333,0,0,1
0,0,0.777778,0,0,0
0,0,0.361111,0,0,0
0,0,0.666667,0,0,0
0,0,0.75,0,0,0
0,1,0.333333,0,0,0
0,0,0.75,0,0,0
0,0,0.555556,0,0,1
0,0,0.75,1,2,0
0,0,0.75,0,0,0
0,0,0.555556,0,0,1
0,0,0.666667,0,0,0
0,0,0.555556,0,0,0
0,1,0.333333,0,0,1
0,0,0.75,0,0,0
0,1,0.270833,0,0,0
0,0,0.160714,0,0,1
0,0,0.555556,0,0,0
