@relation synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R8

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,1,13,1,9,0.75,230,0,0.375,0,0,31.571429,20,0
1,0,36,22,4,2,9,0,0.296296,0,0,0,1,1
2,0,3,0,11,2,142,0,0.555556,0,0,46.333333,10,0
2,0,1,0,7,2,20,0,0.75,0,0,9,1,0
2,0,14,2,8,0.831169,390,0,0.3,0,0,30.916667,30,0
1,0,0,1,12,0,77,0,0.75,0,0,37,4,1
1,0,20,1,13,0.571429,552,1,0.244898,0,0,67.75,26,1
3,0,3,0,7,2,46,0,0.555556,0,0,14.333333,3,0
3,0,1,3,3,2,156,0,0.666667,2,5,77,5,0
1,0,0,1,0,0.722222,104,0,0.428571,0,0,13,5,0
2,7,0,7,7,0,173,0,0.283333,0,0,16.2,3,0
1,0,10,2,9,1,126,0,0.583333,0,0,24,1,0
1,0,1,8,1,2,2,0,0.75,0,0,0,1,0
1,0,6,6,1,2,4,0,0.7,0,0,0,1,0
1,0,3,1,9,0.4,145,0,0.25,0,0,23,3,0
1,0,0,0,0,2,4,0,1,0,0,3,0,0
1,0,245,12,4,0.943333,193,1,0.194286,0,0,5.961538,4,0
3,0,4,3,8,2,188,0,0.5,0,0,46,10,0
1,0,231,2,0,2,22,0,0.204545,0,0,0,1,0
1,0,1,2,9,0.5,166,0,0.5,0,0,54,11,0
1,0,0,2,6,0.25,124,0,0.6,0,0,23.6,5,0
2,0,0,2,7,0.571429,219,1,0.375,0,0,26,15,0
1,0,0,2,0,0,20,0,1,0,0,5.333333,1,0
1,0,20,1,10,0.714286,125,1,0.244898,0,0,14.375,3,1
1,0,58,1,3,0.858333,199,0,0.277778,0,0,10.9375,9,1
1,0,13,1,4,0.8,57,0,0.2,0,0,8.333333,1,0
1,0,8,1,10,0.25,122,0,0.3125,0,0,23.2,6,0
1,0,9,7,1,0.666667,157,0,0.475,0,0,14.4,2,0
1,0,1,6,2,2,2,0,0.666667,0,0,0,1,0
1,0,0,12,3,2,1,0,1,0,0,0,1,1
1,0,15,10,1,2,6,0,0.458333,0,0,0,1,0
3,0,6,4,8,0.75,159,0,0.75,0,0,30.6,9,0
1,0,0,4,3,0,154,0,0.5,0,0,24.5,7,0
2,0,4,0,9,0.8125,318,0,0.5,0,0,60.2,22,0
3,0,3,0,12,2,151,0,0.555556,0,0,49.333333,9,0
3,0,3,1,1,1.5,60,0,0.555556,0,0,15,0,0
1,0,1172,9,30,0.941568,1164,4,0.134615,0,0,20.471698,39,1
2,0,3,0,10,1.5,212,0,0.555556,0,0,69,12,1
1,17,10,17,7,1,142,0,0.45,0,0,24.8,5,0
1,0,29,8,7,0.769231,159,2,0.3,0,0,9.928571,10,0
1,0,20,1,13,0.714286,152,1,0.244898,0,0,17.75,5,1
1,0,1,6,0,1.692308,80,0,1,0,0,26,0,0
1,0,0,4,0,0.5,179,0,0.333333,0,0,42.75,4,0
2,2,1,2,12,2,377,0,0.666667,0,0,187.5,25,0
1,1,0,2,19,0.25,242,0,0.5,0,0,47,4,0
3,0,26,0,3,0.857143,208,0,0.464286,3,4,24.875,8,0
3,0,4,0,5,0.666667,30,0,0.666667,0,0,6.25,1,0
1,0,11,1,16,1.044444,244,1,0.333333,0,0,38.166667,13,1
1,0,1128,65,10,2,48,0,0.138258,0,0,0,1,0
1,0,20,1,10,0.714286,468,1,0.261905,0,0,57,31,1
4,0,1,0,4,2,35,0,0.555556,1,6,10.666667,1,1
3,0,2,0,10,0.666667,226,0,0.666667,0,0,54.75,16,0
1,0,0,0,12,1,132,0,0.5,0,0,24.6,1,0
1,0,540,26,30,0.893939,940,2,0.097917,0,0,14.229508,10,0
2,0,59,2,15,0.875,231,0,0.238095,0,0,13.866667,3,0
1,0,38,1,28,0.818182,394,2,0.238636,0,0,31.333333,11,1
1,0,4,13,9,0.666667,112,0,0.4,0,0,26.75,5,0
2,0,2,0,12,0.666667,169,0,0.666667,0,0,40,8,0
1,0,0,3,2,2,1,0,1,0,0,0,1,0
1,0,0,4,3,0.25,288,0,0.6,0,0,56.2,9,0
1,0,2,1,16,0.583333,503,0,0.333333,0,0,123.75,30,1
1,3,9,16,4,0.5,211,0,0.333333,0,0,28.857143,9,0
2,0,0,2,12,0,187,1,0.5,0,0,45.5,17,0
2,0,0,4,7,0.533333,106,1,0.4,1,2,16.166667,2,0
2,0,2,0,10,0.814815,386,0,0.666667,0,0,93.25,17,1
1,0,0,0,0,2,7,0,1,0,0,3,0,0
3,0,3,2,5,2,70,0,0.833333,1,2,22.333333,8,0
1,0,5,0,9,0.7,114,1,0.392857,0,0,14.571429,5,0
2,0,3,0,9,2,125,0,0.555556,0,0,40.666667,11,0
