@relation 'synapse-1.2_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.374rfc+0.35 loc+0.324wmc-0.293cam+0.292npm...' numeric
@attribute -0.382mfa-0.371amc-0.356avg_cc-0.355dit-0.313cbm... numeric
@attribute -0.337cbm-0.328ic-0.315dit-0.304lcom3-0.293ca... numeric
@attribute 0.423lcom3-0.421dam-0.32ic+0.308avg_cc-0.3cbm... numeric
@attribute '0.491ca+0.44 cbo+0.436noc+0.265dam-0.251lcom3...' numeric
@attribute '-0.496dit-0.47mfa+0.383ic+0.38 cbm-0.335noc...' numeric
@attribute '-0.809noc+0.29 cbo+0.268ca-0.173ic+0.15 dam...' numeric
@attribute -0.495ce-0.463moa+0.324lcom+0.274dam-0.266lcom3... numeric
@attribute -0.673moa-0.412max_cc+0.335ce-0.267avg_cc+0.257rfc... numeric
@attribute -0.846cam-0.311ce-0.267lcom-0.176dam+0.133avg_cc... numeric
@attribute -0.653loc+0.391ce+0.368lcom+0.243avg_cc-0.229cam... numeric
@attribute bug {1,0}

@data
3.049855,1.275875,0.45874,-1.43688,-0.720543,-0.335002,0.487782,-2.24735,-2.357351,0.09194,0.038635,1
-2.73211,-0.317873,-1.314821,-0.012337,-0.955638,-1.814988,0.20993,0.181462,0.519238,0.69504,-0.550527,0
0.927146,1.895981,0.773176,0.830654,5.063636,-2.298502,-5.890684,0.129909,-0.759419,-0.054766,-0.411972,1
-2.702618,-0.153435,-1.434022,0.424484,-0.825758,-1.53705,0.254917,-0.351619,0.430408,0.860194,-0.098385,0
-2.768477,1.673843,-0.31841,1.051184,-0.281141,0.869075,-0.020521,-0.399557,-0.378197,-0.593731,-0.146255,1
-0.717675,-0.498641,0.678206,-0.485649,0.013921,-0.961592,0.506049,0.65234,0.426846,-0.717311,-0.083478,0
-0.73957,-1.118871,-0.588717,-2.021414,0.321903,-0.494796,0.229177,-0.060722,-0.453494,0.064794,0.353071,1
5.126061,4.232111,-2.712307,-0.850163,-3.339307,0.108195,-2.121693,3.932015,1.445492,-0.186587,0.805493,0
1.795959,0.470261,1.23381,-0.028913,0.195053,0.628945,0.013705,0.51324,0.642317,0.659285,-0.673713,0
-0.343531,0.727096,1.692661,-0.806759,0.418033,0.571762,0.069245,0.954707,0.182421,0.835938,-0.345675,0
1.381463,-5.831194,2.341457,5.357414,-0.520519,0.816812,-0.725533,1.408923,-1.238511,0.473891,0.551731,0
5.514501,0.1208,0.705293,-0.662137,-1.590724,-0.207342,0.465114,-3.565019,-4.168914,-0.07222,-0.996675,0
-1.066694,-1.330911,-0.14334,1.763328,-0.980713,-0.386928,0.002952,-0.314994,0.154636,0.420447,0.332535,0
-0.596633,2.666166,-1.804708,1.746969,1.450219,0.924731,0.855503,-0.460608,-0.236461,1.401946,0.250973,0
5.909713,-1.644626,0.333114,1.194862,-0.618982,-0.76223,0.454254,-1.393093,0.430634,-0.220264,-0.240345,1
2.302557,-2.256715,-1.549112,-2.237936,0.392002,1.965846,-1.047773,0.268852,1.201661,0.177016,-0.741389,0
