@relation 'synapse-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,37,0.75,1,4,0,0.255102,0,0,16.533333,13,2.0667,1
3,0,3,1.5,0,0,1,0.555556,0,0,15,0,0,0
1,18,7,0.47619,1,0,0,0.380952,0,0,14.066667,4,2.3333,1
3,0,1,2,0,0,0.8,0.5,0,0,6,1,0.5,0
1,0,1,2,0,0,0,0.833333,0,0,0,1,1,1
2,0,4,0.666667,1,0,0.6,0.666667,0,0,34,6,1.75,0
2,0,4,0.666667,1,1,0.818182,0.444444,1,1,18.25,5,1.5,1
1,0,1025,0.86,1,0,0,0.236667,0,0,8.27451,3,1.2157,0
1,0,0,0.730769,1,0,0,0.285714,0,0,37.285714,8,3.2857,0
1,0,0,0.5,1,0,0,0.333333,0,0,42.75,4,2,0
2,2,1,2,0,0,0.857143,0.666667,0,0,185.5,25,12.5,0
1,0,34,0.848214,0.714286,6,0,0.242188,0,0,37.764706,30,3.4118,0
2,0,3,2,0,0,0.75,0.555556,0,0,45.333333,10,3.6667,0
1,0,45,2,0,0,0,0.283333,0,0,0,1,1,0
2,0,104,0.872807,0.833333,1,0.40625,0.185,0,0,40.6,39,3.5,1
2,0,67,0.761905,1,0,0.277778,0.276786,2,3,39.4,9,2.4,0
2,0,3,2,0,0,0.75,0.555556,0,0,37,7,2.6667,0
2,0,100,0.90625,1,2,0.464286,0.3,0,0,24.647059,12,2.0588,1
2,0,3,2,0,0,0.75,0.555556,0,0,51,12,4.3333,0
3,0,3,2,0,0,0.777778,0.555556,0,0,14.333333,3,1.3333,0
3,0,1,2,0,0,0.962963,0.666667,2,5,90.5,9,4.5,1
3,0,0,0,1,1,0.818182,0.666667,2,3,62.6,23,6.4,1
1,0,66,2,0,0,0,0.285714,0,0,0,1,1,0
2,7,0,0,1,0,0.590909,0.283333,0,0,16.5,3,1.5,1
2,0,0,0.535714,1,1,0.333333,0.404762,1,2,69.75,4,1.625,0
1,0,3,2,0,0,0,0.666667,0,0,0,1,1,0
1,0,30,0.625,1,0,0,0.196429,0,0,67.777778,6,2.2222,1
3,0,1,0.814286,0.857143,1,0.6875,0.30303,1,3,47.636364,16,2.7273,1
1,0,1,0.5,1,0,0,0.5,0,0,5.666667,1,0.3333,0
1,0,2,0.772727,1,0,0,0.25974,0,0,24.75,7,2.5833,1
1,0,245,0.943333,0.666667,1,0,0.194286,0,0,5.961538,4,1.3462,0
1,0,4,0.333333,1,0,0,0.333333,0,0,17.75,5,1.5,1
3,0,3,2,0,0,0.777778,0.555556,0,0,46.333333,9,3.3333,0
1,0,143,0.878788,0,0,0,0.181818,0,0,21.956522,5,2.2174,0
1,0,0,0.25,1,0,0,0.3125,0,0,137.8,50,10.4,0
1,0,781,0.953515,1,0,0,0.297674,0,0,4.883721,1,0.9767,0
1,0,99,0.357143,1,0,0,0.314286,0,0,32.733333,19,2.6,1
3,0,13,0.9,1,0,0.870968,0.366667,2,5,35.166667,8,2.1667,1
3,0,3,2,0,0,0.777778,0.555556,0,0,14.333333,3,1.3333,0
1,0,0,0.5,1,0,0,0.583333,0,0,28.8,5,1.4,1
1,0,3,0.4,1,0,0,0.6,0,0,31,9,3.3333,0
3,0,60,0.828571,1,0,0.594595,0.25,1,4,25.3125,29,2.8125,1
1,0,0,2,0,0,0,1,0,0,0,1,1,0
2,0,2,1.047619,1,0,0.6,0.666667,0,0,21.5,7,2,0
2,0,216,0.877493,0.692308,3,0.325,0.203571,0,0,28.107143,17,3.2143,1
2,0,4,0.666667,1,0,0.6,0.666667,0,0,32,6,1.75,0
5,0,3,2,0,0,0.99115,0.5,0,0,5,1,0.3333,0
1,0,9,0.5,1,0,0,0.566667,0,0,19.571429,5,1.8571,0
1,0,0,2,0,0,0,1,0,0,0,1,1,0
4,0,3,1.5,1,0,1,0.777778,0,0,4.333333,0,0,1
2,1,0,2,0,0,0.666667,0.5,2,3,43.5,9,3.25,0
1,0,15,2,0,0,0,0.361111,0,0,4.833333,1,0.8333,0
1,0,1,0.625,1,0,0,0.666667,0,0,64.333333,11,3.6667,0
1,1,0,0.25,1,0,0,0.5,0,0,47,4,1.6,0
3,0,8,0.785714,1,0,0.806452,0.357143,3,4,24,1,0.75,1
1,0,0,2,0,0,0,1,0,0,0,1,1,0
3,0,2,0.666667,1,0,0.666667,0.666667,0,0,51.25,15,4,0
1,0,11,1.044444,0.777778,1,0,0.333333,0,0,37.833333,13,2.8333,1
