@relation synapse-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,0,37,3,15,271,1,4,0.255102,0,16.533333,13,1
3,0,3,1,1,60,0,0,0.555556,0,15,0,0
1,18,7,18,5,229,1,0,0.380952,0,14.066667,4,1
3,0,1,2,4,14,0,0,0.5,0,6,1,0
1,0,1,8,3,2,0,0,0.833333,0,0,1,1
2,0,4,0,8,141,1,0,0.666667,0,34,6,0
2,0,4,1,7,78,1,1,0.444444,1,18.25,5,1
1,0,1025,1,3,481,1,0,0.236667,0,8.27451,3,0
1,0,0,5,9,544,1,0,0.285714,0,37.285714,8,0
1,0,0,4,0,179,1,0,0.333333,0,42.75,4,0
2,2,1,2,14,373,0,0,0.666667,0,185.5,25,0
1,0,34,4,19,673,0.714286,6,0.242188,0,37.764706,30,0
2,0,3,0,10,139,0,0,0.555556,0,45.333333,10,0
1,0,45,30,5,10,0,0,0.283333,0,0,1,0
2,0,104,3,29,844,0.833333,1,0.185,0,40.6,39,1
2,0,67,0,12,609,1,0,0.276786,2,39.4,9,0
2,0,3,0,8,114,0,0,0.555556,0,37,7,0
2,0,100,2,12,444,1,2,0.3,0,24.647059,12,1
2,0,3,0,11,156,0,0,0.555556,0,51,12,0
3,0,3,0,7,46,0,0,0.555556,0,14.333333,3,0
3,0,1,3,3,183,0,0,0.666667,2,90.5,9,1
3,0,0,4,16,319,1,1,0.666667,2,62.6,23,1
1,0,66,7,3,12,0,0,0.285714,0,0,1,0
2,7,0,7,7,176,1,0,0.283333,0,16.5,3,1
2,0,0,1,21,570,1,1,0.404762,1,69.75,4,0
1,0,3,2,2,3,0,0,0.666667,0,0,1,0
1,0,30,1,37,620,1,0,0.196429,0,67.777778,6,1
3,0,1,3,16,542,0.857143,1,0.30303,1,47.636364,16,1
1,0,1,0,5,21,1,0,0.5,0,5.666667,1,0
1,0,2,5,7,319,1,0,0.25974,0,24.75,7,1
