@relation xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,112,1,5,0.777778,1,0,0.74,0.344444,8,30.625,0.8125,0
14,0,17,8,0.363636,1,2,0.731707,0.21875,7,11.25,1.5833,0
0,1362,22,15,1.001603,0.375,0,0,0.125,0,37.962264,4.3962,1
2,1176,34,12,1,0,1,0.606838,0.122222,21,14.142857,1.8571,0
0,0,5,1,2,0,0,0,1,0,0,1,0
0,36,7,1,2,0,0,0,0.333333,0,0,1,0
0,15,4,14,0.5,1,0,0.973094,0.314286,7,22.571429,0.8571,1
0,28,1,3,2,0,0,0.860465,0.375,4,21.125,0.75,0
0,28,0,1,2,0,0,0,0.28125,0,0,1,0
0,4,1,2,0,1,0,0.851852,0.4,0,24.4,1.6,0
0,0,1,0,0.25,1,0,0,0.533333,1,5.2,0.8,0
10,526,103,21,0.998047,0,16,0,0.234375,0,7.606061,1,0
0,0,3,6,0.5,0,1,0,0.458333,0,20.857143,1.4286,1
0,0,1,1,0.2,1,0,0.590909,0.381818,2,56.181818,0.8182,0
0,1,0,1,2,0,0,0,0.75,0,2.5,0.5,0
0,1,0,5,2,0,0,0.979592,0.75,6,6.5,0.5,0
0,23,0,55,0.798319,1,8,0.811594,0.214286,3,85.066667,3.1333,0
0,0,0,0,2,0,0,0,1,0,3,0,0
0,388,1,7,0.895703,0.901961,2,0,0.236702,0,46.291667,1.8958,0
0,3,1,2,2,0,0,0.990698,0.666667,2,1.666667,0.6667,0
0,0,2,2,0.892857,0,1,0,0.62963,0,37.444444,1.4444,0
0,0,0,15,0.814815,0.444444,2,0.934211,0.285714,8,32.285714,1.1429,0
0,120,2,2,2,0,0,0.821429,0.304688,7,13.3125,0.9375,0
0,6,67,0,2,0,0,0,0.583333,0,0,1,0
0,15,0,10,1,0,0,0.615385,0.375,6,101.166667,2,1
1,10,15,2,2,0,0,0,0.4,0,0.6,0.8,0
0,10,0,4,2,0,0,0.98,0.466667,5,13.8,3.8,0
0,28,1,0,1.142857,0,0,0.857143,0.225,0,17.375,0.875,0
0,4,1,13,0.75,1,2,0.968992,0.44,5,48.4,3,1
0,0,5,1,2,0,0,0,0,0,0,0,0
0,39,3,12,0.826923,0.75,0,0,0.196429,0,22.642857,1.0714,0
0,0,0,0,2,0,0,0,1,0,3,0,0
0,0,7,5,0.305556,0.75,1,0,0.44,0,58.2,0.7,0
0,0,1,4,0.636364,1,0,0.989529,0.55,1,41,0.5,0
0,0,0,21,0.333333,1,1,0.949153,0.4,5,29.5,1,0
