@relation 'xalan-2.5_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.371rfc+0.349wmc+0.331npm-0.282cam+0.282moa... numeric
@attribute 0.483ic+0.478dit+0.475mfa+0.408cbm+0.224ce... numeric
@attribute 0.434avg_cc+0.374max_cc+0.338dam-0.322lcom3-0.308ca... numeric
@attribute '-0.593amc-0.565loc+0.247ca-0.222max_cc+0.22 cbo...' numeric
@attribute -0.43ca-0.408cbo-0.343noc-0.323avg_cc-0.299max_cc... numeric
@attribute '0.571lcom3-0.465dam-0.328amc+0.3  max_cc+0.287avg_cc...' numeric
@attribute 0.774noc-0.359ce-0.267moa-0.265cbo+0.181cbm... numeric
@attribute -0.583moa-0.403noc+0.329ca-0.298ce-0.287cam... numeric
@attribute -0.351mfa-0.343dit+0.336cbm-0.311cam-0.305lcom... numeric
@attribute 0.547moa-0.521ce+0.455cbm+0.301cam+0.222ca... numeric
@attribute -0.693cam+0.364moa-0.352cbm-0.291ce+0.234dit... numeric
@attribute 0.513lcom-0.466lcom3-0.443dam-0.323rfc+0.229ic... numeric
@attribute bug {1,0}

@data
-2.167479,0.175687,-1.705916,-4.364098,-0.518267,-1.6079,-0.191001,0.377982,-0.002216,0.081402,-0.048159,0.028719,1
0.899743,2.110025,1.094065,0.615483,-0.000022,-0.594551,-0.470337,-0.166422,0.15033,-0.504868,-0.388865,0.293745,0
0.64976,-1.545693,1.31986,0.188258,0.049426,0.057144,-0.203424,-0.000963,0.713349,-0.625431,0.231265,0.096853,1
3.751607,2.788872,-0.234502,-1.489025,1.506427,-0.496976,0.4261,0.345907,2.872964,2.494917,-0.550574,-1.216611,1
-1.263481,3.27631,-1.40753,0.064036,0.478683,1.32084,0.071524,0.288671,-0.087598,0.078661,0.673105,-0.194849,1
3.389599,1.137129,0.687393,-0.676332,-0.520348,0.90711,0.856966,0.382639,0.116807,0.453021,0.113101,-0.01114,1
-1.74107,-1.789226,0.094233,0.944409,0.215481,0.758821,0.19269,0.593717,1.537947,-0.620109,1.521496,0.06184,0
-0.458179,1.433834,-1.881685,0.771387,-1.532286,0.691077,2.480248,-1.099371,0.390727,-0.596838,0.012679,-0.026255,1
-1.746741,0.210624,-2.39919,-8.488986,-1.414602,-3.497659,-0.09696,1.513573,1.29885,-0.035723,0.125463,0.326369,0
8.214317,1.052153,-2.323122,0.086682,1.632086,1.296375,1.079422,1.240064,-0.66224,1.57936,-0.711983,0.427344,1
-0.024615,-1.259843,0.805359,0.343793,0.050665,-0.691027,-0.783186,-0.308992,0.839868,-1.268684,-1.041975,-0.509635,1
-1.531531,-0.03126,-0.702376,0.074515,-0.872964,0.824469,0.305051,-0.481132,-0.502071,-0.571797,0.74127,-0.251375,0
-0.859922,0.861565,1.17708,0.402648,0.557388,-1.463477,-0.014751,-0.438757,-1.17807,0.451054,-0.1787,0.298988,0
-0.701669,1.468151,0.412673,0.866296,0.649372,-0.647147,0.067884,0.207516,-0.173915,-0.346034,0.10697,-0.155189,0
1.273878,0.133552,-1.500807,0.068845,2.138449,1.975098,1.12368,1.204235,0.008332,-0.20593,0.817188,-0.122541,0
3.414694,2.975845,0.087331,0.247556,1.000692,0.47397,1.315575,0.661736,0.688685,1.099466,-0.590477,-0.637974,1
-0.531794,-0.868558,-0.016451,0.636751,-0.205221,-0.581049,-0.037676,0.817337,-0.532178,-0.042705,0.696116,0.59713,0
1.708183,3.436664,1.766872,0.278743,-0.329596,0.236953,0.0338,0.314035,0.056193,0.277844,-0.563521,0.427536,0
0.64948,0.146614,0.086012,0.358525,1.266632,-0.42687,0.365963,0.373435,-0.57279,-0.243422,0.903107,-0.24141,1
0.675464,-1.343395,1.139586,-0.092161,-0.07465,-1.98616,-2.114669,-3.480909,0.763941,2.566636,-0.356253,0.472382,0
-1.542262,-1.646982,1.167184,0.330952,0.445312,-1.24644,-0.097509,-0.275064,-0.613333,0.627053,-1.632444,-0.017026,1
0.24929,-1.844248,1.039976,0.151821,-0.668982,0.539726,0.488622,0.606924,0.007267,-0.082983,0.228761,0.628243,1
6.766262,-5.195308,-4.389597,-1.504696,6.324456,3.551484,2.479134,0.944952,-2.907055,-1.098645,-0.26115,2.583092,1
-2.360085,0.169419,-1.283504,-2.193036,-0.026019,-0.729183,-0.231428,-0.198507,-0.717143,0.160346,-0.157616,-0.036484,0
-2.40472,-1.859943,-0.304608,0.084183,-0.315183,0.999913,-0.428957,-0.449905,0.218683,0.43271,-1.088935,-0.013525,1
-0.405754,-1.061109,1.373063,0.905716,0.361925,-0.981376,0.260203,0.677609,0.024222,0.412659,-0.589699,0.141967,0
-0.38936,-0.376287,-2.301072,0.769249,-3.237567,-1.22389,5.341482,-2.216287,-0.078936,-0.899993,0.495064,0.14644,1
1.003677,1.619106,0.891881,0.594041,0.146096,-0.981826,-0.758781,-0.633252,0.22061,-0.347103,-0.332999,0.104168,1
-1.060076,-1.63557,-0.197238,-0.116064,-0.1811,0.860423,-0.50368,-0.073703,1.328135,-0.859514,-0.181347,-0.142488,1
1.225338,2.830561,-0.165057,-0.033292,-1.662193,2.233558,-0.768835,0.370175,0.61739,-0.540168,-0.831721,0.226807,1
-1.456531,-1.680967,0.771121,0.461568,0.432682,-0.711814,-0.170412,-0.238757,0.274656,0.571809,-0.352513,1.299881,0
7.554783,-1.88027,-1.565301,1.444429,-4.114774,-0.949069,-2.008074,-1.245979,0.10636,-0.637693,-0.474938,-0.198375,0
2.742638,0.490338,-0.494043,0.167095,-0.731007,1.050519,-1.063787,0.400465,0.152848,-2.009619,-0.351585,0.682507,0
-1.937179,0.830038,-1.066009,-0.029251,0.147061,1.041846,-0.152508,-0.217586,-0.072149,0.366098,-0.511141,-0.219859,0
-2.002928,0.034056,-1.579235,0.329493,-0.147927,0.407626,-0.331609,0.077779,-0.758647,-0.207078,1.001483,-0.666146,0
0.659139,-1.741489,1.661368,0.300221,-0.217691,-0.767069,0.055418,0.45162,-0.248123,0.301748,-0.076028,-0.228696,0
