@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,18-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
4,0,1,1.428571,0,0,0.97619,1,0,0,1
3,0,0,0.5,1,1,0.933333,0.333333,2,7,0
1,0,76,0.875,0.5,1,0,0.208333,0,0,1
3,0,222,0.855967,0.888889,5,0.866667,0.196296,2,26,1
7,0,6,2,0,0,0.96,0.5,3,8,1
3,2,239,0.733333,0.4,2,0.641975,0.180108,2,9,1
1,0,0,2,0,0,0,0,0,0,0
4,9,8,2,0,0,0.872727,0.5,2,5,1
4,0,1,1.423077,0,0,0.97619,1,0,0,0
3,2,2539,0.966051,0.913043,4,0.728625,0.073443,3,19,1
1,0,15,1.2,1,0,0,0.5,0,0,1
3,2,1,2,0,0,0.986111,0.5,0,0,0
3,0,0,0,1,1,0.952381,0.666667,1,2,0
3,0,6,1,1,0,0.952381,0.4,2,4,0
3,0,814,2,0,0,0.74,0.153846,2,6,0
4,2,354,0.88172,1,2,0.866953,0.180556,3,19,1
2,0,0,0.285714,0,0,0.666667,0.34375,0,0,0
4,0,7,0.458333,1,1,0.941176,0.285714,3,13,0
3,0,0,0.520833,0.5,1,0.890909,0.253333,1,1,1
1,0,0,0.142857,0.928571,9,0,1,0,0,0
1,0,0,0.416667,1,0,0,1,0,0,1
1,1,58,0.666667,0,0,0,0.307692,0,0,1
1,1,5671,2,0,0,0,0.19107,0,0,1
4,0,1,1.3,0,0,0.97619,1,0,0,0
1,0,0,2,0,0,0,1,0,0,1
1,0,0,0.40625,1,0,0,0.5,1,2,0
3,18,8,1.223684,0,0,0.926829,0.416667,0,0,1
3,0,0,0.4,1,2,0.918033,0.361111,1,7,1
1,0,3,2,0,0,0,0.466667,0,0,1
4,0,1,2,0,0,0.938272,0.4,2,13,1
1,0,0,0,0,1,0,0.666667,0,0,0
1,5,1101,0.912037,1,6,0,0.149691,0,0,0
3,0,370,1,0,0,0.564516,0.181548,1,3,0
3,0,1,2,0,0,0.953488,0.833333,1,6,0
4,0,3,2,0,0,1,0.555556,0,0,0
1,0,1,0.553571,1,1,0,0.383333,0,0,0
2,1,53,0.8,1,0,0.714286,0.327273,1,5,1
