@relation 'xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-14,16-20'

@attribute noc numeric
@attribute cam numeric
@attribute bug {1,0}

@data
3,0.555556,0
3,0.152074,0
0,1,1
0,0.52381,0
3,0.205,1
0,0.666667,0
0,1,1
0,0.666667,0
0,0.571429,0
0,0.316667,0
0,0.2125,0
5,0.205,1
1,0.571429,1
0,0.361111,0
0,0.75,0
0,0.3,0
1,0.227273,1
0,0.571429,0
0,0.25,0
0,0.638889,0
0,0.40625,0
0,0.4,0
0,0.308571,0
0,0.5,0
0,0.333333,0
0,0.46875,1
0,0.5,0
0,0.342857,0
0,0.410714,0
0,0.571429,0
0,0.666667,0
2,0.113889,0
0,0.75,0
0,0,0
0,0.263889,0
0,0.160839,0
0,0.257937,1
0,0.75,0
0,0.5,0
0,0.30662,0
1,0.333333,1
0,0.75,0
0,0.232323,0
0,0.645833,1
1,0.52381,1
0,0.192513,0
0,0.55,0
0,0.571429,0
0,0.5,0
0,0.75,0
0,0.6,0
0,0.45,0
0,0.189815,0
0,0.226481,0
0,0.45,0
0,0.75,0
0,0.2125,0
0,1,1
0,0.75,0
0,0.35,0
0,0.666667,0
0,0.428571,1
0,1,0
0,0.528846,0
0,0.126667,0
0,0.75,0
0,0.5,0
2,0.34375,1
0,0.666667,1
0,0.75,0
2,0.152632,0
0,0.4,1
2,0.6,0
0,0.433333,0
0,0.538462,0
0,0.4375,0
0,0,0
0,0.5,0
0,0.5,0
1,0.383333,0
0,0.555556,0
0,0.31,0
0,0.555556,0
0,1,0
0,0.75,0
0,1,0
1,0.325,0
4,0.337931,1
0,0.487179,0
2,0.333333,1
0,0.119298,0
0,0.125926,0
0,0.5,0
0,0.555556,0
0,0.285714,0
0,0.515152,0
2,0.416667,0
0,0.37963,0
0,0.555556,0
0,0.232143,0
0,0,0
0,0.5,0
1,1,0
0,0.75,0
1,1,1
0,0.284848,0
0,0.6,0
0,1,0
0,0.75,0
0,0.75,0
0,0.666667,1
0,0.488889,0
0,0.5,0
0,0.75,1
1,0.179012,0
0,1,0
0,0.5,0
0,0.375,0
0,0.75,0
0,0.75,0
0,0.666667,0
0,1,0
0,0.75,1
0,0.206349,0
0,0.333333,0
0,0.409091,0
0,0.192308,0
1,1,1
0,1,0
0,0.75,0
1,0.611111,1
0,0.317647,0
0,0.388889,0
0,0.6,0
0,0.333333,0
0,0.5,0
0,1,1
0,0.666667,0
0,0.328571,1
1,0.228571,1
0,0.5,0
0,0.35,0
0,0.75,0
0,0.5,0
0,0.375,1
0,0.571429,0
0,0.566667,0
0,0.189815,0
0,1,0
0,0.371429,0
0,0.438596,0
0,0.533333,0
0,0.170833,1
0,0.521739,0
0,0.285714,0
1,0.393939,1
0,0.75,0
2,0.533333,1
14,0.533333,0
6,0.195652,0
0,1,1
0,0.392857,0
0,0.138249,1
0,0.777778,1
0,0.555556,0
0,0.533333,0
0,0.285714,0
1,0.44,0
0,0.5,0
0,0.75,0
0,0.25,1
0,0.46875,0
0,0,0
0,0.75,0
0,0.31746,0
0,0.15303,0
0,1,0
0,0.6,0
0,0,1
0,0.5,0
0,0.555556,0
0,0.22623,0
0,0.666667,0
0,0.281818,0
0,0.571429,0
0,0.545455,0
0,0.55,0
0,0.833333,0
0,0.148033,0
0,0.75,0
3,0.333333,0
0,0.571429,0
0,0.666667,0
0,0.6,1
