@relation xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3

@attribute dit numeric
@attribute noc numeric
@attribute ca numeric
@attribute npm numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,3,0,6,1,0,0.555556,2,7.833333,1,0
2,3,7,42,0.896552,6,0.152074,11,88.698413,1.6984,0
5,0,1,1,0,0,1,0,5,0,1
4,0,0,21,0,0,0.52381,0,4.714286,0.9524,0
3,3,3,14,0.833333,3,0.205,22,43.56,2.28,1
1,0,25,3,0,0,0.666667,0,0,1,0
1,0,0,1,0,0,1,0,0,1,1
4,0,1,3,0,0,0.666667,0,19,1.6667,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
4,0,0,12,0,0,0.316667,1,7.083333,1.25,0
1,0,7,5,0,1,0.2125,0,49.882353,4.7059,0
2,5,5,14,0.833333,3,0.205,17,43.56,2.28,1
1,1,0,6,1,0,0.571429,0,13.125,0.75,1
2,0,6,1,0.142857,1,0.361111,7,116.833333,8,0
3,0,11,2,0.5,0,0.75,0,4.5,0.5,0
1,0,20,10,0,0,0.3,0,0,1,0
1,1,6,9,0.857143,1,0.227273,0,25,2.2727,1
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,1,6,1,0,0.25,0,100.142857,3.5714,0
1,0,0,12,0,0,0.638889,0,0,1,0
3,0,1,0,1,0,0.40625,3,143,0.75,0
1,0,4,18,0,0,0.4,0,0,1,0
4,0,0,35,0,0,0.308571,0,4.714286,0.9714,0
1,0,1,14,0,0,0.5,0,0,1,0
1,0,1,9,1,0,0.333333,0,19.666667,1,0
1,0,0,8,0,0,0.46875,0,0,1,1
