@relation xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R14

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,3,0,0,6,0,54,1,0,0.555556,1,2,7.833333,1,0
2,3,793,7,42,0.87208,5680,0.896552,6,0.152074,2,11,88.698413,1.6984,0
5,0,0,1,1,2,6,0,0,1,0,0,5,0,1
4,0,210,0,21,2,120,0,0,0.52381,0,0,4.714286,0.9524,0
3,3,34,3,14,0.638889,1120,0.833333,3,0.205,2,22,43.56,2.28,1
1,0,3,25,3,1.5,17,0,0,0.666667,0,0,0,1,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,1
4,0,3,1,3,2,60,0,0,0.666667,0,0,19,1.6667,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
4,0,66,0,12,2,97,0,0,0.316667,1,1,7.083333,1.25,0
1,0,134,7,5,0.9375,867,0,1,0.2125,0,0,49.882353,4.7059,0
2,5,34,5,14,0.638889,1120,0.833333,3,0.205,1,17,43.56,2.28,1
1,1,14,0,6,0.785714,117,1,0,0.571429,0,0,13.125,0.75,1
2,0,0,6,1,0.680672,2128,0.142857,1,0.361111,1,7,116.833333,8,0
3,0,0,11,2,1,13,0.5,0,0.75,0,0,4.5,0.5,0
1,0,45,20,10,1.111111,51,0,0,0.3,0,0,0,1,0
1,1,41,6,9,0.843537,579,0.857143,1,0.227273,0,0,25,2.2727,1
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,13,1,6,1.083333,720,1,0,0.25,0,0,100.142857,3.5714,0
1,0,66,0,12,2,12,0,0,0.638889,0,0,0,1,0
3,0,0,1,0,0.380952,583,1,0,0.40625,1,3,143,0.75,0
1,0,153,4,18,2,18,0,0,0.4,0,0,0,1,0
4,0,595,0,35,2,200,0,0,0.308571,0,0,4.714286,0.9714,0
1,0,91,1,14,2,14,0,0,0.5,0,0,0,1,0
1,0,16,1,9,0.875,191,1,0,0.333333,0,0,19.666667,1,0
1,0,28,0,8,2,8,0,0,0.46875,0,0,0,1,1
1,0,3,6,6,0.763636,90,0,2,0.5,1,1,12.166667,0.6667,0
4,0,21,0,7,2,42,0,0,0.342857,0,0,5,0.8571,0
1,0,91,3,13,2,486,0,0,0.410714,0,0,33.714286,3.7143,0
2,0,0,2,1,0,239,1,0,0.571429,2,2,118,0.5,0
4,0,3,0,3,2,17,0,0,0.666667,0,0,4.666667,0.6667,0
1,2,622,2,22,0.91572,1192,1,11,0.113889,0,0,22.877551,1.0408,0
1,0,66,0,12,2,12,0,0,0.75,0,0,0,1,0
1,0,0,8,0,2,0,0,0,0,0,0,0,0,0
2,0,35,1,6,0.708333,240,1,3,0.263889,0,0,22.2,0.7,0
2,0,0,1,21,0.672727,2890,1,2,0.160839,1,3,83.558824,1.0588,0
1,0,695,11,42,0.899187,498,1,0,0.257937,0,0,10.5,1.6429,1
1,0,6,0,4,2,4,0,0,0.75,0,0,0,1,0
1,0,6,0,4,2,4,0,0,0.5,0,0,0,1,0
2,0,280,2,35,0.903947,1231,1,10,0.30662,1,7,28.560976,1.1951,0
1,1,28,0,7,2,128,0,0,0.333333,0,0,15,0.875,1
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
2,0,33,1,7,0.82,327,0.7,2,0.232323,0,0,27.818182,1.2727,0
1,0,120,0,16,2,16,0,0,0.645833,0,0,0,1,1
2,1,15,3,7,0.916667,80,0.75,0,0.52381,1,4,9.857143,1.8571,1
2,0,128,1,11,2,263,0,0,0.192513,1,10,14.470588,1.8824,0
1,0,0,5,4,0,73,0,1,0.55,0,0,16.5,0.5,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,15,0,6,2,6,0,0,0.5,0,0,0,1,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
4,0,10,0,5,2,52,0,0,0.6,0,0,9.4,1.6,0
4,0,10,0,5,2,28,0,0,0.45,0,0,4.6,0.8,0
2,0,141,1,10,0.847751,1937,1,2,0.189815,0,0,105.666667,1.1667,0
1,0,375,2,29,0.780488,1992,1,0,0.226481,0,0,46.142857,3.1429,0
4,0,10,0,5,2,30,0,0,0.45,0,0,5,0.8,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
1,0,33,5,5,0.76,849,0.6,1,0.2125,0,0,75.727273,1.0909,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,1
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
1,0,10,6,5,2,107,0,0,0.35,0,0,20.4,1.8,0
4,0,3,1,3,2,19,0,0,0.666667,0,0,5.333333,0.6667,0
1,0,21,0,7,2,7,0,0,0.428571,0,0,0,1,1
1,0,0,0,1,2,8,0,0,1,0,0,3,0,0
1,0,0,0,24,0.08,723,0,0,0.528846,0,0,26.730769,2.6538,0
1,0,177,0,24,0.882033,887,0.736842,9,0.126667,0,0,27.933333,1.2333,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
1,0,45,1,10,2,10,0,0,0.5,0,0,0,1,0
4,2,102,10,14,0.933333,288,0.5,0,0.34375,3,18,16.875,2.375,1
1,0,28,0,8,2,8,0,0,0.666667,0,0,0,1,1
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
1,2,569,9,13,0.900901,2197,1,9,0.152632,0,0,55.947368,1.9737,0
1,0,45,0,10,1.111111,13,0,0,0.4,0,0,0,1,1
3,2,10,2,5,2,20,0,0,0.6,0,0,3,0.2,0
2,0,9,1,3,0,136,1,0,0.433333,1,2,21.5,1.5,0
4,0,78,0,13,2,72,0,0,0.538462,1,7,4.538462,0.9231,0
4,0,0,18,8,0.285714,64,1,0,0.4375,0,0,6.75,0.5,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,6,0,4,2,4,0,0,0.5,0,0,0,1,0
4,0,3,0,3,2,17,0,0,0.5,0,0,4.666667,0.6667,0
4,1,57,6,14,0.821429,200,0.875,3,0.383333,2,6,11.8,1.5333,0
1,0,3,0,3,2,3,0,0,0.555556,0,0,0,1,0
1,0,58,1,14,0.547368,547,0.2,3,0.31,0,0,26.1,3.95,0
4,0,36,0,9,2,50,0,0,0.555556,1,6,4.555556,0.8889,0
1,0,0,0,1,2,9,0,0,1,0,0,3,0,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
4,0,0,0,1,2,6,0,0,1,0,0,5,0,0
4,1,43,3,9,0.944444,115,0.5,0,0.325,1,6,10.3,1.5,0
4,4,124,12,24,0.75,598,0.666667,1,0.337931,2,11,19.517241,2.4828,1
1,0,325,0,26,2,26,0,0,0.487179,0,0,0,1,0
3,2,15,6,6,1.2,90,0,0,0.333333,1,4,13.833333,1.1667,1
2,0,862,3,16,0.89678,962,0.875,6,0.119298,1,5,19.844444,1.5556,0
1,0,246,0,35,0.804762,436,1,6,0.125926,0,0,10.944444,1.1389,0
1,0,0,1,4,1.243808,1114,0.009288,0,0.5,0,0,157.2,2.2,0
4,0,36,0,9,2,50,0,0,0.555556,1,5,4.555556,0.8889,0
1,0,153,0,18,2,40,0,0,0.285714,0,0,1.222222,0.9444,0
1,0,55,0,11,2,11,0,0,0.515152,0,0,0,1,0
2,2,18,9,5,0.904762,69,0.666667,2,0.416667,1,3,7.25,1.25,0
4,0,351,0,27,2,171,0,0,0.37963,0,0,5.333333,1.1111,0
3,0,4,37,2,0.982906,580,0.051282,0,0.555556,1,1,134.25,0.5,0
1,0,89,1,12,0.703297,1528,0.692308,4,0.232143,0,0,67.863636,4.6818,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
4,0,3,0,3,2,17,0,0,0.5,0,0,4.666667,0.6667,0
4,1,0,0,1,2,11,0,0,1,0,0,7,0,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
4,1,0,0,1,2,24,0,0,1,0,0,7,0,1
3,0,541,55,29,0.969697,1017,0.8,5,0.284848,2,4,28.617647,2.2059,0
1,0,1,22,2,2,5,0,0,0.6,0,0,0,1,0
1,0,0,0,1,2,121,0,0,1,0,0,3,0,0
1,0,15,0,6,2,6,0,0,0.75,0,0,0,1,0
1,0,15,1,6,2,6,0,0,0.75,0,0,0,1,0
1,0,3,0,3,2,3,0,0,0.666667,0,0,0,1,1
1,0,105,0,15,2,15,0,0,0.488889,0,0,0,1,0
1,0,0,2,4,1.185484,236,0.064516,0,0.5,0,0,40,2.2,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,1
1,1,47,5,18,0.720588,357,1,1,0.179012,0,0,18.388889,1.7778,0
3,0,1,0,2,0.5,247,0,0,1,0,0,81,0.3333,0
1,0,2,3,2,0.666667,395,1,0,0.5,0,0,97.25,0.5,0
1,0,37,0,10,0.777778,64,1,0,0.375,0,0,5,0.8,0
1,0,28,0,8,2,8,0,0,0.75,0,0,0,1,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
4,0,3,0,3,2,17,0,0,0.666667,0,0,4.666667,0.6667,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,0
3,0,1,0,2,2,9,0,0,0.75,0,0,3.5,0,1
1,0,91,0,14,2,14,0,0,0.206349,0,0,0,1,0
1,0,3,0,2,2,102,0,0,0.333333,0,0,33,0.6667,0
1,0,25,38,11,0.05,191,0,0,0.409091,1,1,16,1.1818,0
1,0,1146,10,20,0.906177,6637,0.090909,6,0.192308,1,1,123.603774,13.3585,0
5,1,0,1,1,2,8,0,0,1,0,0,5,0,1
1,0,0,1,1,2,1,0,0,1,0,0,0,1,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
3,1,3,2,4,0.8,192,0.666667,0,0.611111,3,3,30.5,1.3333,1
4,0,136,0,17,2,123,0,0,0.317647,0,0,6.235294,1.1765,0
2,0,0,2,1,0.625,120,1,0,0.388889,1,2,12,1,0
4,0,10,0,5,2,28,0,0,0.6,1,4,4.6,0.8,0
1,0,0,6,28,0.81391,1200,1,2,0.333333,0,0,39.724138,2.8621,0
4,0,0,1,1,0.666667,103,0.5,0,0.5,3,11,24.25,1.5,0
2,0,1,0,2,2,13,0,0,1,0,0,5.5,0.5,1
4,0,3,0,3,2,19,0,0,0.666667,0,0,5.333333,0.6667,0
2,0,25,1,5,2,592,0,0,0.328571,1,7,58.2,2.8,1
1,1,45,0,9,2,53,0,0,0.228571,0,0,4.3,0.9,1
1,0,120,0,16,2,16,0,0,0.5,0,0,0,1,0
1,0,0,3,6,0.530303,332,0,0,0.35,0,0,26.166667,2.75,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
1,0,153,0,18,2,18,0,0,0.5,0,0,0,1,0
2,0,0,6,6,0.981818,62,0,1,0.375,0,0,7.5,0.8333,1
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,0,6,1,0.066667,471,0,0,0.566667,0,0,45.6,2.8,0
2,0,141,1,9,0.891176,1405,0.15,2,0.189815,0,0,75.944444,1.1667,0
4,0,0,0,1,2,5,0,0,1,0,0,4,0,0
1,0,595,0,35,2,35,0,0,0.371429,0,0,0,1,0
1,0,171,0,19,2,19,0,0,0.438596,0,0,0,1,0
4,0,105,0,15,2,83,0,0,0.533333,1,6,4.533333,0.9333,0
2,0,0,1,22,0.608824,7413,0.882353,3,0.170833,1,4,179.390244,1.0488,1
4,0,253,0,23,2,127,0,0,0.521739,0,0,4.521739,0.9565,0
2,0,37,1,7,0.709877,967,1,2,0.285714,0,0,93.9,0.8,0
1,1,35,3,11,0.9,87,0.1,2,0.393939,0,0,6,0.9091,1
1,0,6,0,4,2,4,0,0,0.75,0,0,0,1,0
1,2,13,3,5,0.8,127,0,1,0.533333,0,0,20,3.3333,1
1,14,10,15,5,1.25,13,1,0,0.533333,0,0,1.4,0.8,0
1,6,234,7,0,1.023551,268,0,1,0.195652,0,0,9.166667,0.9583,0
1,0,1,0,2,2,2,0,0,1,0,0,0,1,1
1,0,81,0,14,0.876923,75,1,0,0.392857,0,0,4,0.7143,0
1,0,753,10,39,0.850198,2272,0.862069,12,0.138249,0,0,35.177419,1.3226,1
1,0,3,0,3,2,3,0,0,0.777778,0,0,0,1,1
4,0,36,0,9,2,50,0,0,0.555556,1,6,4.555556,0.8889,0
1,0,0,2,10,0,93,1,0,0.533333,0,0,8.2,1.1,0
1,0,105,0,15,2,34,0,0,0.285714,0,0,1.266667,0.9333,0
1,1,0,3,4,0.25,264,1,1,0.44,0,0,50.6,6,0
2,0,4,0,2,0.666667,31,1,1,0.5,0,0,6.5,0.5,0
1,0,15,0,6,2,6,0,0,0.75,0,0,0,1,0
1,0,13,1,4,0.875,208,1,0,0.25,0,0,28.142857,1.5714,1
2,0,10,1,7,1.040816,223,0.214286,0,0.46875,1,1,25.125,1.5,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
1,0,18,7,3,1.028846,366,0.153846,1,0.31746,0,0,38.222222,4.6667,0
1,0,602,7,16,0.942776,2550,0.071429,15,0.15303,0,0,54.422222,1.0222,0
1,0,0,16,1,2,1,0,0,1,0,0,0,1,0
4,0,10,0,5,2,28,0,0,0.6,0,0,4.6,0.8,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
1,0,28,1,8,2,8,0,0,0.5,0,0,0,1,0
4,0,36,0,9,2,50,0,0,0.555556,1,4,4.555556,0.8889,0
3,0,1294,16,48,0.890476,2553,0.952381,1,0.22623,2,10,40.508197,2.4918,0
4,0,3,0,3,2,19,0,0,0.666667,0,0,5.333333,0.6667,0
1,0,231,0,22,2,22,0,0,0.281818,0,0,0,1,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
4,0,55,0,11,2,61,0,0,0.545455,1,6,4.545455,0.9091,0
3,0,10,1,5,2,76,0,0,0.55,1,1,14.2,0.4,0
1,0,0,1,3,1,224,1,0,0.833333,0,0,72.666667,4.6667,0
1,0,1069,1,22,0.92296,7218,1,15,0.148033,0,0,101.028571,1.0429,0
1,0,190,0,20,2,20,0,0,0.75,0,0,0,1,0
1,3,8,7,3,0.75,191,1,0,0.333333,0,0,36.6,0.6,0
