@relation 'xerces-1.3_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,19'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.672727,1,2,0.160839,1,3,83.558824,1.0588,0
0,0.903704,1,1,0.220497,0,0,11.195652,1.6522,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.5,0,0,0,1,0
0,0.903947,1,10,0.30662,1,7,28.414634,1.1951,0
1,2,0,0,0.308824,0,0,13.941176,0.9412,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.5,0,0,0.5,0,0,3.333333,0.3333,1
0,1.333333,0,0,0.625,2,5,2.75,0.5,0
4,0.825,1,3,0.518519,0,0,7,0.8889,0
0,1.5,0,0,0.666667,0,0,0,1,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.666667,0,0,19,1.6667,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,2,0,0,0.316667,1,1,7.083333,1.25,0
0,0.9375,0,1,0.2125,0,0,49.882353,4.7059,0
7,0.650538,0.833333,3,0.180556,2,25,37.5625,2.3438,0
1,0.915789,0.9,0,0.355263,0,0,14.75,1.4,1
0,0.680672,0.142857,1,0.361111,1,7,116.833333,8,0
0,1,0.5,0,0.75,0,0,4.5,0.5,0
0,2,0,0,0,0,0,0,0,0
0,0.698413,1,3,0.263889,0,0,21.1,0.7,0
0,2,0,0,0,0,0,0,0,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.5,0,0,4.666667,0.6667,0
0,0.166667,1,2,0.5,0,0,53.666667,0.3333,1
1,0.821429,0.875,3,0.383333,2,8,11.8,1.5333,0
0,2,0,0,0.75,0,0,3,0.5,0
0,2,0,0,0.555556,0,0,4.555556,0.8889,0
0,0.547368,0.2,3,0.31,0,0,26.1,3.95,1
0,2,0,0,0.555556,1,6,4.555556,0.8889,0
0,2,0,0,1,0,0,3,0,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,1,0,0,5,0,0
1,0.944444,0.5,0,0.325,2,8,10.3,1.5,1
4,0.738095,0.666667,1,0.337931,2,13,21.827586,2.7931,1
0,2,0,0,0.487179,0,0,0,1,0
2,1.2,0,0,0.333333,1,4,13.5,1.1667,0
0,0.89678,0.875,6,0.119298,1,5,19.844444,1.5556,1
0,0.804762,1,6,0.125926,0,0,10.944444,1.1389,0
0,0.833333,0.666667,2,0.232323,0,0,21.181818,1.2727,1
1,0.9,0.5,0,0.611111,3,3,30.333333,1.3333,1
0,2,0,0,0.5,0,0,0,1,0
6,0.65,1,3,0.466667,0,0,18.222222,0.8889,0
0,2,0,0,0.545455,1,4,4.545455,0.9091,0
0,2,0,0,0.455882,0,0,0,1,1
52,2,0,0,0.456522,1,2,9.826087,1.6087,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.538462,0,0,4.538462,0.9231,0
