@relation xerces-1.3_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R5

@attribute dit numeric
@attribute noc numeric
@attribute ca numeric
@attribute npm numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
2,0,1,21,1,2,0.160839,3,83.558824,2,0
1,0,11,46,1,1,0.220497,0,11.195652,12,0
1,0,0,4,0,0,0.75,0,0,1,0
1,0,0,4,0,0,0.5,0,0,1,0
2,0,2,35,1,10,0.30662,7,28.414634,3,0
1,1,0,16,0,0,0.308824,0,13.941176,1,0
1,0,1,2,0,0,0.75,0,0,1,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,0,2,0,0,0.5,0,3.333333,1,1
4,0,1,4,0,0,0.625,5,2.75,1,0
1,4,6,0,1,3,0.518519,0,7,1,0
1,0,27,3,0,0,0.666667,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0
4,0,1,3,0,0,0.666667,0,19,3,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
4,0,0,12,0,0,0.316667,1,7.083333,3,0
1,0,7,5,0,1,0.2125,0,49.882353,19,0
3,7,8,14,0.833333,3,0.180556,25,37.5625,11,0
1,1,0,16,0.9,0,0.355263,0,14.75,10,1
2,0,6,1,0.142857,1,0.361111,7,116.833333,17,0
3,0,11,2,0.5,0,0.75,0,4.5,1,0
1,0,8,0,0,0,0,0,0,0,0
2,0,1,6,1,3,0.263889,0,21.1,1,0
1,0,1,0,0,0,0,0,0,0,0
1,0,0,4,0,0,0.5,0,0,1,0
4,0,0,3,0,0,0.5,0,4.666667,1,0
1,0,5,2,1,2,0.5,0,53.666667,1,1
4,1,6,14,0.875,3,0.383333,8,11.8,2,0
2,0,3,2,0,0,0.75,0,3,1,0
4,0,0,9,0,0,0.555556,0,4.555556,1,0
1,0,1,14,0.2,3,0.31,0,26.1,10,1
4,0,0,9,0,0,0.555556,6,4.555556,1,0
1,0,0,1,0,0,1,0,3,0,0
1,0,1,4,0,0,0.75,0,0,1,0
4,0,0,1,0,0,1,0,5,0,0
4,1,3,9,0.5,0,0.325,8,10.3,6,1
4,4,12,24,0.666667,1,0.337931,13,21.827586,11,1
1,0,0,26,0,0,0.487179,0,0,1,0
3,2,7,6,0,0,0.333333,4,13.5,2,0
2,0,3,16,0.875,6,0.119298,5,19.844444,5,1
1,0,0,35,1,6,0.125926,0,10.944444,2,0
2,0,1,7,0.666667,2,0.232323,0,21.181818,6,1
3,1,2,4,0.5,0,0.611111,3,30.333333,3,1
1,0,0,14,0,0,0.5,0,0,1,0
1,6,6,5,1,3,0.466667,0,18.222222,2,0
4,0,0,11,0,0,0.545455,4,4.545455,1,0
1,0,0,17,0,0,0.455882,0,0,1,1
