@relation 'zxing1.6_golden-weka.filters.unsupervised.attribute.Remove-R1-2,54-weka.filters.unsupervised.attribute.Remove-R12,15,20,24,31-32,37-40,45-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11'

@attribute AvgEssential numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineCodeExe numeric
@attribute CountLineComment numeric
@attribute CountStmtDecl numeric
@attribute MaxCyclomaticStrict numeric
@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
1,0,7,1,9,17,28,8,5,0.8,FALSE
1,0,6,1,9,2,2,7,1,0.15,TRUE
1,1,5,0,36,9,0,36,1,0,FALSE
1,0,10,1,18,91,49,18,4,0.38,FALSE
1,0,35,1,60,388,43,48,9,0.09,TRUE
1,0,8,0,18,19,3,21,2,0.07,TRUE
2,3,16,1,21,18,7,21,8,0.14,FALSE
1,3,16,0,15,16,6,12,5,0.15,FALSE
1,3,14,0,13,15,6,10,4,0.17,FALSE
1,0,15,0,17,21,1,17,5,0.02,FALSE
1,1,17,2,13,16,4,12,5,0.11,FALSE
2,1,10,1,19,16,4,16,5,0.09,FALSE
1,0,7,0,11,9,8,10,3,0.32,FALSE
1,1,11,0,12,16,0,14,7,0,TRUE
1,0,3,0,1,1,0,2,1,0,FALSE
1,0,5,0,4,1,0,3,1,0,FALSE
1,0,4,0,5,2,0,5,1,0,FALSE
4,4,50,16,27,59,40,24,54,0.36,FALSE
1,0,2,0,4,1,1,3,1,0.14,FALSE
1,0,8,0,13,37,14,13,4,0.23,TRUE
1,0,3,0,6,4,0,5,1,0,FALSE
1,1,13,1,14,20,16,13,8,0.36,FALSE
1,0,3,0,9,7,0,8,1,0,FALSE
1,0,2,0,4,1,1,3,1,0.14,FALSE
1,0,2,0,4,1,1,3,1,0.14,FALSE
1,0,6,0,35,63,63,43,8,0.45,FALSE
1,0,9,0,4,6,0,3,2,0,FALSE
1,0,10,1,26,23,35,30,4,0.54,TRUE
1,0,8,0,21,36,14,20,10,0.21,TRUE
1,0,12,1,11,8,4,9,1,0.17,FALSE
1,0,3,0,6,3,0,4,1,0,FALSE
1,0,15,0,41,61,2,38,5,0.02,FALSE
1,0,4,0,13,10,0,10,2,0,TRUE
5,1,27,2,59,127,50,59,21,0.22,TRUE
1,0,3,0,10,11,18,8,2,0.62,FALSE
4,1,27,1,53,111,22,53,19,0.11,FALSE
